Time t / s,Voltage U_B1 / V,Temperature &J_A11 / °C,Temperature &J_A12 / °C
0,4.98,20.2713802494933,22.9856847894079
0.101,4.98,20.2713802494933,23.086786801338
0.2,4.98,20.1702782375632,22.9856847894079
0.3,4.98,20.1702782375632,23.086786801338
0.399,4.98,20.2713802494933,23.187888813268
0.5,4.98,20.2713802494933,23.086786801338
0.6,4.975,20.2713802494933,23.187888813268
0.7,4.98,20.1702782375632,23.187888813268
0.801,4.98,20.2713802494933,23.187888813268
0.901,4.98,20.1702782375632,23.187888813268
1,4.98,20.1702782375632,23.187888813268
1.101,4.98,20.3724822614233,23.1450880197145
1.2,4.98,20.1702782375632,23.3472920435746
1.3,4.98,20.1702782375632,23.2461900316446
1.4,4.975,20.2713802494933,23.2461900316446
1.5,4.975,20.2713802494933,23.2461900316446
1.6,4.975,20.2713802494933,23.2461900316446
1.7,4.975,20.2713802494933,23.3472920435746
1.801,4.985,20.2713802494933,23.3472920435746
1.9,4.985,20.1702782375632,23.2461900316446
2.001,4.98,20.1702782375632,23.2461900316446
2.1,4.98,20.2713802494933,23.2461900316446
2.2,4.975,20.3724822614233,23.2461900316446
2.3,4.98,20.1702782375632,23.2461900316446
2.4,4.98,20.1702782375632,23.2461900316446
2.5,4.98,20.1702782375632,23.2461900316446
2.602,4.98,20.2713802494933,23.2461900316446
2.7,4.98,20.2713802494933,23.1450880197145
2.8,4.975,20.1702782375632,23.2461900316446
2.9,4.98,20.1702782375632,23.2461900316446
3,4.98,20.1702782375632,23.1450880197145
3.099,4.98,20.2713802494933,23.1450880197145
3.199,4.98,20.1702782375632,23.1450880197145
3.3,4.975,20.2713802494933,22.9856847894079
3.4,4.98,20.1702782375632,23.086786801338
3.5,4.98,20.1702782375632,23.086786801338
3.601,4.975,20.2713802494933,22.9856847894079
3.7,4.98,20.2713802494933,23.086786801338
3.799,4.975,20.0691762256332,22.9856847894079
3.9,4.98,20.2713802494933,22.9856847894079
4,4.98,20.1702782375632,22.9856847894079
4.1,4.975,20.2713802494933,22.9856847894079
4.199,4.98,20.1702782375632,22.9856847894079
4.3,4.98,20.1702782375632,22.9856847894079
4.401,4.98,20.2713802494933,22.9428839958545
4.5,4.985,20.1702782375632,23.0439860077845
4.6,4.985,20.1702782375632,23.0439860077845
4.7,4.98,20.2713802494933,22.9428839958545
4.801,4.98,20.2713802494933,23.0439860077845
4.899,4.98,20.1702782375632,22.9428839958545
5.001,4.98,20.2713802494933,22.9428839958545
5.101,4.98,20.2713802494933,23.0439860077845
5.199,4.98,20.1702782375632,22.9428839958545
5.301,4.975,20.1702782375632,22.9428839958545
5.399,4.98,20.1702782375632,22.9428839958545
5.501,4.98,20.2713802494933,22.9428839958545
5.6,4.98,20.1702782375632,22.9428839958545
5.701,4.98,20.1702782375632,22.9428839958545
5.8,4.98,20.1702782375632,22.9428839958545
5.9,4.98,20.1702782375632,22.9428839958545
5.999,4.98,20.2713802494933,22.9428839958545
