Time t / s,Voltage U_B1 / V,Temperature &J_A11 / °C,Temperature &J_A12 / °C
34.601,4.975,21.4526652453384,23.983897066957
34.699,4.98,21.4526652453384,23.983897066957
34.8,4.98,21.3515632334083,23.882795055027
34.9,4.975,21.3515632334083,23.882795055027
35,4.975,21.3515632334083,23.882795055027
35.1,4.98,21.4526652453384,23.7816930430969
35.2,4.98,21.4526652453384,23.6805910311669
35.299,4.98,21.3515632334083,23.6805910311669
35.4,4.975,21.3515632334083,23.6805910311669
35.5,4.98,21.3515632334083,23.6805910311669
35.6,4.98,21.3515632334083,23.6805910311669
35.7,4.98,21.4526652453384,23.7816930430969
35.8,4.975,21.3515632334083,23.882795055027
35.9,4.975,21.4526652453384,23.983897066957
36.001,4.975,21.4526652453384,23.983897066957
36.099,4.98,21.3515632334083,24.1861010908171
36.2,4.975,21.3515632334083,24.2872031027471
36.301,4.975,21.4526652453384,24.3883051146772
36.4,4.98,21.3515632334083,24.6916111504673
36.499,4.985,21.3515632334083,24.7927131623973
36.6,4.975,21.3515632334083,24.8938151743274
36.7,4.975,21.3515632334083,24.9949171862574
36.8,4.98,21.3515632334083,25.0960191981874
36.901,4.98,21.3515632334083,24.9949171862574
37.002,4.98,21.3515632334083,24.9949171862574
37.1,4.98,21.3515632334083,24.8938151743274
37.2,4.98,21.3515632334083,24.8938151743274
37.299,4.98,21.3515632334083,24.6916111504673
37.4,4.98,21.3515632334083,24.5905091385372
37.499,4.975,21.3515632334083,24.5905091385372
37.6,4.98,21.3515632334083,24.4894071266072
37.699,4.98,21.3515632334083,24.4894071266072
37.8,4.98,21.4526652453384,24.3883051146772
37.899,4.975,21.3515632334083,24.2872031027471
37.999,4.975,21.3515632334083,24.1861010908171
38.1,4.98,21.3515632334083,24.1861010908171
38.2,4.98,21.3515632334083,24.0849990788871
38.299,4.98,21.3515632334083,24.0849990788871
38.4,4.975,21.3515632334083,24.0849990788871
38.5,4.975,21.4526652453384,23.983897066957
38.601,4.975,21.3515632334083,24.0849990788871
38.7,4.975,21.3515632334083,24.1861010908171
38.801,4.975,21.3515632334083,24.2872031027471
38.901,4.975,21.3515632334083,24.2872031027471
39,4.98,21.3515632334083,24.3883051146772
39.1,4.975,21.3515632334083,24.4894071266072
39.2,4.975,21.2504612214783,24.5905091385372
39.299,4.98,21.4526652453384,24.6916111504673
39.399,4.975,21.3515632334083,24.7927131623973
39.501,4.98,21.3515632334083,24.8938151743274
39.6,4.975,21.4526652453384,24.9949171862574
39.7,4.975,21.3515632334083,25.1971212101175
39.8,4.975,21.4526652453384,25.3993252339775
39.9,4.98,21.3515632334083,25.3993252339775
40.001,4.98,21.3515632334083,25.5004272459076
40.1,4.98,21.3515632334083,25.2982232220475
40.2,4.98,21.3515632334083,25.2982232220475
40.3,4.975,21.3515632334083,25.0960191981874
40.401,4.98,21.3515632334083,25.0960191981874
40.5,4.98,21.3515632334083,24.8938151743274
40.6,4.98,21.3515632334083,24.8938151743274
40.7,4.98,21.4526652453384,24.6916111504673
40.8,4.975,21.3515632334083,24.6916111504673
40.9,4.975,21.3515632334083,24.5905091385372
41,4.975,21.3515632334083,24.4894071266072
41.1,4.975,21.3515632334083,24.4894071266072
41.199,4.98,21.4526652453384,24.4894071266072
41.3,4.98,21.3515632334083,24.4894071266072
41.399,4.98,21.3515632334083,24.3883051146772
41.5,4.98,21.2504612214783,24.3883051146772
41.6,4.98,21.3515632334083,24.3883051146772
41.7,4.98,21.4526652453384,24.3883051146772
41.8,4.98,21.4526652453384,24.2872031027471
41.901,4.98,21.3515632334083,24.3883051146772
42,4.98,21.3515632334083,24.3883051146772
42.1,4.98,21.3515632334083,24.3883051146772
42.2,4.98,21.3515632334083,24.3883051146772
42.3,4.975,21.3515632334083,24.3883051146772
42.399,4.98,21.3515632334083,24.3883051146772
42.5,4.98,21.3515632334083,24.4894071266072
42.6,4.98,21.3515632334083,24.5905091385372
42.7,4.98,21.3515632334083,24.5905091385372
